,Data Set 1:pH,Data Set 1:volume(ml)
0,2.918667781047332,0.0
1,2.861700472078825,1.0
2,2.987517595291138,2.0
3,3.359398496778388,3.0
4,3.484064164914583,4.0
5,4.211234545,5.0
6,4.360093016373484,6.0
7,4.450624099144568,7.0
8,4.514030798887595,8.0
9,4.555810024863796,8.5
10,4.589478932894194,9.1
11,4.62687313862336,9.5
12,4.65846794529965,10.0
13,4.689026306837032,10.5
14,4.730196475982666,11.0
15,4.760736503099141,11.5
16,4.803287188212077,12.0
17,4.834191774067126,12.5
18,4.859280661532753,13.0
19,4.895065307617188,13.5
20,4.952153544676931,14.0
21,4.978258170579609,14.5
22,4.995407355459113,15.6
23,5.09265870314378,16.1
24,5.102077484130859,16.5
25,5.096981763839722,17.0
26,5.132719065013685,18.0
27,5.3937584925920525,19.0
28,5.412251986955342,19.5
29,5.461566398018284,20.0
30,5.522782350197817,20.5
31,5.577562173207601,21.0
32,5.66704756174332,21.6
33,5.752661817952206,22.0
34,5.770685574947259,22.2
35,5.8085911212823325,22.3
36,5.86920162251121,22.5
37,5.888094450298109,22.6
38,5.928859622854936,22.75
39,5.981046370970897,22.91
40,5.998641465839587,23.05
41,6.035004942040694,23.1
42,6.052354213518974,23.21
43,6.116387746272944,23.435
44,6.184708758404381,23.5678
45,6.224779919574135,23.6985
46,6.309874057769776,23.8
47,6.324102790732133,23.8975
48,6.442030705903705,23.97771
49,6.5383232769213215,24.18759
50,6.851058409764216,24.31432
51,6.811677066903365,24.3895
52,6.900246436779316,24.41235
53,7.113624088387741,24.4699
54,7.318905980963456,24.5123
55,7.658327234708345,24.53222
56,8.056083997090658,24.7135925714
57,8.257042346856533,24.81244
58,8.788808089036207,24.821234567891
59,9.525230896778597,25.083424
60,10.525230896778597,25.37
61,10.8800882138704,25.57
62,11.05578392458785,25.72
63,11.32674385789498,26.1
64,11.50460312993903,26.89
65,11.51719803559153,27.001234567891007
66,11.54524961270784,27.111234567891
67,11.62098241463686,27.29
68,11.70979172144181,27.655
69,11.79703581960578,27.9876543210123
70,12.137765592273908,28.987654321
71,12.174158325195313,29.48751012344568
72,12.21475285750169,30.59
73,12.42288677509015,33.9
